[2026-04-05T15:38:19.256Z] Launcher started in C:\Projects\Teste\openclaude
[2026-04-05T15:38:24.432Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:24.944Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:24.944Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:24.945Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:25.455Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:25.456Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:25.458Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:25.971Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:25.971Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:25.972Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:26.487Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:26.488Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:26.489Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:26.999Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:27.000Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:27.001Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:27.515Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:27.516Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:27.518Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:28.028Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:28.029Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:28.031Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:28.543Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:28.544Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:28.545Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:29.055Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:29.056Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:29.057Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:29.571Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:29.573Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:29.574Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:30.085Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:30.086Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:30.086Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:30.587Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:30.589Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:30.590Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:31.103Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:31.105Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:31.106Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:31.620Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:31.621Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:31.623Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:32.132Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:32.133Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:32.134Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:32.645Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:32.645Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:32.646Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:33.162Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:33.163Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:33.165Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:33.676Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:33.676Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:33.678Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:34.191Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:34.191Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:34.192Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:34.701Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:34.701Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:34.703Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:35.215Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:35.215Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:35.216Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:35.728Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:35.729Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:35.730Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:36.243Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:36.244Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:36.246Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:36.753Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:36.754Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:36.755Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:37.265Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:37.267Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:37.268Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:37.767Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:37.782Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:37.784Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:38.283Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:38.285Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:38.286Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:38.796Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:38.797Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:38.797Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:39.310Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:39.311Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:39.313Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:39.825Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:39.826Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:39.826Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:40.336Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:40.337Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:40.338Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:40.848Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:40.849Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:40.850Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:41.363Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:41.364Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:41.365Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:41.878Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:41.878Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:41.879Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:42.391Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:42.392Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:42.392Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:42.907Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:42.908Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:42.909Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:43.421Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:43.422Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:43.424Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:43.936Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:43.937Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:43.937Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:44.450Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:44.450Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:44.451Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:44.966Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:44.968Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:44.971Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:45.479Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:45.480Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:45.481Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:45.995Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:45.995Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:45.996Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:46.510Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:46.511Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:46.512Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:47.025Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:47.026Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:47.027Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:47.541Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:47.542Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:47.543Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:48.054Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:48.056Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:48.058Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:48.557Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:48.572Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:48.573Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:49.059Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:49.074Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:49.075Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:49.576Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:49.577Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:49.579Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:50.092Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:50.093Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:50.094Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:50.607Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:50.607Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:50.608Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:51.117Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:51.119Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:51.120Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:51.633Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:51.634Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:51.635Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:52.136Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:52.138Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:52.139Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:52.650Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:52.650Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:52.652Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:53.162Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:53.163Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:53.164Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:53.677Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:53.677Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:53.678Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:54.190Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:54.190Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:54.191Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:54.705Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:54.706Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:54.707Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:55.215Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:55.217Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:55.218Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:55.730Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:55.731Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:55.733Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:56.235Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:56.237Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:56.238Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:56.736Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:56.752Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:56.755Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:57.250Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:57.267Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:57.270Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:57.762Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:57.778Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:57.779Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:58.264Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:58.280Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:58.281Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:58.777Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:58.792Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:58.792Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:59.291Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:59.307Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:59.307Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:59.803Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:59.818Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:59.819Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:00.306Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:00.322Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:00.323Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:00.821Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:00.836Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:00.838Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:01.335Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:01.352Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:01.354Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:01.850Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:01.865Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:01.867Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:02.353Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:02.383Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:02.384Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:02.866Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:02.899Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:02.901Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:03.379Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:03.411Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:03.413Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:03.890Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:03.920Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:03.922Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:04.404Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:04.435Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:04.436Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:04.913Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:39:04.947Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:04.948Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:05.462Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:05.464Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:05.971Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:05.971Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:06.487Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:06.488Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:07.000Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:07.001Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:07.513Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:07.514Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:08.026Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:08.027Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:08.538Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:08.540Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:09.053Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:09.054Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:09.569Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:09.572Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:10.085Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:10.088Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:10.598Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:10.598Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:11.106Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:11.106Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:11.621Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:11.622Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:12.139Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:12.141Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:12.649Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:12.650Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:13.163Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:13.164Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:13.675Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:13.676Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:14.189Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:14.189Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:14.704Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:14.707Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:15.220Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:15.222Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:15.736Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:15.738Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:16.250Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:16.252Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:16.762Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:16.764Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:17.275Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:17.276Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:17.793Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:17.795Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:18.306Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:18.307Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:18.822Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:18.823Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:19.336Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:19.338Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:19.850Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:19.851Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:20.352Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:20.354Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:20.868Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:20.869Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:21.382Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:21.384Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:21.898Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:21.899Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:22.413Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:22.414Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:22.928Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:22.929Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:23.440Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:23.441Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:23.953Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:23.954Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:39:24.467Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:39:24.468Z] UI root request failed: http://127.0.0.1:3000
